level,D50,D10,D90,Span,Skewness,sigma_local
50%,0.09900330763628813,0.05610229752704166,0.14493675981638426,0.061617253349852096,0.013504155959872595,1.0111420833435687
75%,0.14829180850956902,0.05070533278725322,0.11110510836910074,0.026494420278567854,0.008123839004906425,1.058928647865931
95%,0.17484060917916644,0.0467464539952576,0.11977419615192655,0.012500365490693482,0.007444700389115846,0.6994631172321818
brut (100%),0.15970189509956084,0.043237697348484753,0.1273131768577157,0.024201533189243302,0.0043451133247477906,0.37205165742016544
