level,D50,D10,D90,Span,Skewness,sigma_local
50%,0.06796289043447719,7.150428424856926,0.12388471608949275,0.0325770266416041,0.08366608452862118,0.23828694793366206
75%,0.09761778789918078,5.933459345454478,0.11218727964595464,0.0684431675360158,0.08699468017684855,0.15923211503420687
95%,0.09800265197493944,3.656684776262965,0.10291520514498226,0.07978578678866588,0.09256285259251586,0.08931297634938301
brut (100%),0.0917807090576347,3.2575667557824404,0.10530566680837887,0.0787639354708172,0.08405922242740722,0.10514186010411126
