level,D50,D10,D90,Span,Skewness,sigma_local
50%,1.0268979029562695,0.1075910255575798,0.9442676940410412,0.32669534998201627,0.14652490237970608,2.929578927066025
75%,0.8392820774995849,0.1098123926636069,0.8514127325017068,0.2855848757659586,0.12246586251657435,2.756201139155068
95%,0.6813530158222566,0.08895037593011614,0.7942583598065166,0.22153914396451135,0.10278133416701715,1.7345818046178436
brut (100%),0.6199329759449597,0.08402551852077438,0.7781842732578248,0.2184566297760612,0.10108909156701718,1.5556644728838471
