level,D50,D10,D90,Span,Skewness,sigma_local
50%,0.44732450813385805,-2.873830940795289,0.11093965531161795,0.47647653420129865,0.3499223953701631,0.3042109060751332
75%,0.578569822288046,-2.312577456527338,0.22149020612527864,0.5999941466074267,0.5066482243914047,0.3843295626600923
95%,0.7164932880703543,-1.2175793359719747,0.3255877339994001,0.7153740009891256,0.6404093619250556,0.7108511594477143
brut (100%),0.739561674766211,-0.9252845662129708,0.3175253462966299,0.7336818757525352,0.654412339057424,0.7814322341539103
