level,D50,D10,D90,Span,Skewness,sigma_local
50%,1.5074358286635092,0.16987701798021507,1.402678350506895,0.48037533075827543,0.2158762610269899,4.659745023714031
75%,1.310839569448481,0.16042771578908088,1.3100853868830904,0.41564730317392157,0.18738506537457617,4.4426277025483545
95%,1.0690953121865203,0.14685764844809818,1.219799762550644,0.3462636006711993,0.15905341095907877,3.017699124417783
brut (100%),1.0224036326675097,0.132186236858372,1.2274117016820552,0.3342104390041847,0.15605594091958191,2.537109723788859
