level,D50,D10,D90,Span,Skewness,sigma_local
50%,0.06360806330683923,0.03848489497876445,0.060350992375389816,0.061685492182670436,0.011236404428249806,0.6195935922625594
75%,0.14500834931132495,0.035661022906398415,0.06818646924461212,0.02631675279285667,0.007055177817069094,0.605523641908235
95%,0.14216155960681115,0.03606331750013454,0.08877010827291808,0.03414088319685535,0.004513055996368813,0.3339422599210844
brut (100%),0.08496193532394987,0.03009665937900987,0.102377029104881,0.033236201048884105,0.007130759004905574,0.17802669882637798
