fold,level,metric,r2,rmse,medae,alpha,n_components
0,50%,D50,0.3436108228442234,1.6250999544431364,0.9773244563109551,316.22776601683796,6
0,50%,D10,0.239738207659562,0.26569726967858215,0.1682419177709802,316.22776601683796,6
0,50%,D90,-0.06151501301077533,1.283726553696993,0.9114053695248945,1000.0,6
0,50%,Span,0.4614211208952498,0.39347496665754816,0.2629179770455661,316.22776601683796,6
0,50%,Skewness,0.20258846178106038,0.2065314497618564,0.12654973959672777,316.22776601683796,6
0,50%,sigma_local,0.28069212599123405,6.176844989655083,3.5088338677951914,316.22776601683796,6
0,75%,D50,0.44693756522740846,1.4917170475962827,0.8672376860540174,100.0,13
0,75%,D10,0.32364461401380384,0.2506068775399885,0.1673858879026484,100.0,13
0,75%,D90,0.08287592957482492,1.1932281767061712,0.8423365334439232,1000.0,13
0,75%,Span,0.5112605815396667,0.37482722877607694,0.24611754029792943,100.0,13
0,75%,Skewness,0.36646547180836386,0.18408995032860181,0.11131464891799289,316.22776601683796,13
0,75%,sigma_local,0.33621364373440576,5.933670912595073,3.432845267750949,316.22776601683796,13
0,95%,D50,0.554180899603401,1.3393025876399147,0.7776448389590773,100.0,47
0,95%,D10,0.44411576718706924,0.22719443371977407,0.15259887816390638,100.0,47
0,95%,D90,0.21486446581615248,1.1040322782788607,0.7873252520660454,316.22776601683796,47
0,95%,Span,0.6077675460324742,0.3357872569327842,0.2088958721382269,100.0,47
0,95%,Skewness,0.48491307060891686,0.16599125201264525,0.10846940861484156,100.0,47
0,95%,sigma_local,0.681923264352494,4.107478022004635,2.095638971819703,31.622776601683793,47
0,brut (100%),D50,0.5853647112452814,1.2916132838486574,0.6973813831632647,100.0,384
0,brut (100%),D10,0.5341528145512854,0.20798271681909566,0.1366630060969688,31.622776601683793,384
0,brut (100%),D90,0.22357820076304014,1.0978886981758191,0.7796191945211266,316.22776601683796,384
0,brut (100%),Span,0.6381964745648605,0.3224993512632964,0.20117495237138616,100.0,384
0,brut (100%),Skewness,0.5104095133069283,0.16183088944617907,0.10726440959984859,100.0,384
0,brut (100%),sigma_local,0.8177015137525308,3.10957350103223,1.826369854803879,10.0,384
1,50%,D50,0.49120409505579987,1.5694151925642088,1.1015000708856304,316.22776601683796,6
1,50%,D10,0.44969735788111664,0.16425788326788962,0.0849132793783991,316.22776601683796,6
1,50%,D90,0.030051428514990874,1.5779817704218233,0.9997296422574156,1000.0,6
1,50%,Span,0.4983522276253308,0.5627007815118106,0.4077265707477109,316.22776601683796,6
1,50%,Skewness,0.36866876267191007,0.2383336174852481,0.15239098639223173,316.22776601683796,6
1,50%,sigma_local,0.31425572880414854,3.938825241395135,2.6239711346866557,316.22776601683796,6
1,75%,D50,0.6740124543604746,1.2562224571492917,0.9145145571938396,316.22776601683796,13
1,75%,D10,0.614190407467819,0.13753458891184334,0.0822744766660029,316.22776601683796,13
1,75%,D90,0.17018246060154452,1.4595498508019482,0.9712414127627724,1000.0,13
1,75%,Span,0.6847355159308885,0.4460829236325358,0.3168245272296957,316.22776601683796,13
1,75%,Skewness,0.5498412256061094,0.2012516852100054,0.12488413711256374,316.22776601683796,13
1,75%,sigma_local,0.2200720197336089,4.200614903325389,2.975696665289771,316.22776601683796,13
1,95%,D50,0.8018019115856947,0.979525574633908,0.5682394092252037,100.0,47
1,95%,D10,0.6110745365457555,0.13808884970337396,0.07070445184831664,316.22776601683796,47
1,95%,D90,0.24169194371691993,1.3952449613863551,0.8599194553796199,316.22776601683796,47
1,95%,Span,0.8276791586432262,0.32979721015165087,0.1992692201172228,100.0,47
1,95%,Skewness,0.690006190987149,0.1670064236913341,0.09670053736075379,100.0,47
1,95%,sigma_local,0.677676378546592,2.700422297102225,1.807358711966204,31.622776601683793,47
1,brut (100%),D50,0.8324069332466196,0.9007288492233836,0.5120203947509729,100.0,384
