block,metric,eta2_image,std_intra_image_moyen,std_global,n_images
block_4,D50,0.1692746304934045,0.8822365500218778,1.0140927256996717,33
block_4,D90,0.051813130227404115,1.126625635758788,1.2215590214719123,33
block_4,Span,0.10865898178328118,0.3094465880195831,0.3203211169293942,33
block_4,Skewness,0.12876563411156022,0.13136178379012697,0.1517964863864838,33
block_4,sigma_local,0.11416788640263792,2.1141275554224306,2.6407885264617565,33
block_6,D50,0.2056390627744492,0.8537905872379942,1.033301646197041,33
block_6,D90,0.062442648261087814,1.141605746957677,1.2335448275750933,33
block_6,Span,0.16333929203249295,0.3115711306779819,0.33508995373966516,33
block_6,Skewness,0.16887827869552688,0.13155960646743492,0.1562258378731892,33
block_6,sigma_local,0.07425541882147657,2.205149759121937,2.5609153226155144,33
block_9,D50,0.3138400166585751,0.8945444036670791,1.1743473800047963,33
block_9,D90,0.1046662773691217,1.1574291347891088,1.289247884987017,33
block_9,Span,0.2818658267654492,0.3231691081755086,0.37760201928306236,33
block_9,Skewness,0.2560817922298769,0.14368472653577807,0.17514863860402632,33
block_9,sigma_local,0.18960069919753106,2.334959242667312,3.0100366824536704,33
