block,metric,patch_uid,image,texture,fold,y_true,y_pred_oof,residual
block_4,D50,303,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20047.tif,Sableux,0,6.108654926938929,5.693439825544484,0.41521510139444473
block_4,D50,304,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20047.tif,Sableux,0,6.0655905190028605,5.533950319263589,0.5316401997392717
block_4,D50,309,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20047.tif,Sableux,0,6.278125514742216,6.198455329717422,0.07967018502479384
block_4,D50,340,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20047.tif,Sableux,0,7.650201244054154,7.223944626163765,0.42625661789038904
block_4,D50,360,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.786032388663967,8.805255918398924,-1.0192235297349566
block_4,D50,361,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.263254551261575,7.877698898108235,-0.6144443468466605
block_4,D50,362,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.929464423522148,8.85583506501004,-0.9263706414878925
block_4,D50,363,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,8.628234582829503,8.632762630078869,-0.004528047249365841
block_4,D50,364,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,3.939441166648113,5.812420782021715,-1.8729796153736022
block_4,D50,369,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,6.733690074769096,7.7971034510806545,-1.0634133763115585
block_4,D50,370,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.971487082545684,5.740865065177541,0.2306220173681428
block_4,D50,371,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,4.650867380794388,5.139620134664809,-0.48875275387042105
block_4,D50,372,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,9.49889588163851,7.932498277676724,1.5663976039617866
block_4,D50,373,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.733443937508642,5.7445725838461135,-0.011128646337471793
block_4,D50,374,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,8.320739549839228,6.972884821892002,1.347854727947226
block_4,D50,375,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,7.909370816599733,7.867846255641138,0.041524560958595025
block_4,D50,376,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,5.353014900431694,5.960761828718068,-0.6077469282863746
block_4,D50,378,060525-JPB-MEB-EIHNValves-Ech1-ZigZag20066.tif,Sableux,3,4.141321704950252,6.593732093676794,-2.452410388726541
