block,metric,r2_oof_poole
block_4,D50,0.7885808840877202
block_4,D90,0.3782898569256963
block_4,Span,0.803655057872318
block_4,Skewness,0.7268916326781212
block_4,sigma_local,0.8441930251386107
block_6,D50,0.7805575228268975
block_6,D90,0.3660270585599288
block_6,Span,0.78516259478065
block_6,Skewness,0.7107323376155681
block_6,sigma_local,0.8535389610594462
block_9,D50,0.7158356485168194
block_9,D90,0.307475811971757
block_9,Span,0.726803202678668
block_9,Skewness,0.6357591522657597
block_9,sigma_local,0.7973538188037229
