model,layer,metric,R2_mean,R2_std,RMSE_mean,RMSE_std,MedAE_mean,MedAE_std,R2_pooled,dim
dinov2_vits14_reg,layer_03,D50,0.6955460930581759,0.06618814723619484,1.1116006275289378,0.11881551981502401,0.7063493245948258,0.08704439072022711,0.7427249199476424,384
dinov2_vits14_reg,layer_03,D90,0.2921836597362103,0.08191955750211986,1.250641069414279,0.10132343786644794,0.8370191571899568,0.09512823013590721,0.34321381289054154,384
dinov2_vits14_reg,layer_03,Span,0.7154242345674663,0.056391554719493836,0.34899710349689145,0.028987584735374126,0.21394979328482783,0.02067739402204553,0.7650790066534464,384
dinov2_vits14_reg,layer_03,Skewness,0.6047043817422837,0.05202156597576271,0.16797652941629632,0.0060252234480877255,0.11100355278229648,0.0030539039636384674,0.6646505903304161,384
dinov2_vits14_reg,layer_03,sigma_local,0.6707009515854481,0.14290935791553983,3.120397169321838,0.49814259521108933,1.7002632351567577,0.1989082650797384,0.7765732258067426,384
dinov2_vits14_reg,layer_06,D50,0.6420389091542416,0.08092755917637418,1.2066510200977816,0.1426543763950233,0.7967807764995458,0.1315201108041161,0.6960105712631426,384
dinov2_vits14_reg,layer_06,D90,0.24301425384270056,0.11366736761982878,1.2891602555870518,0.09169425973129043,0.8288493434994404,0.07864980556979995,0.3030818654353523,384
dinov2_vits14_reg,layer_06,Span,0.6948941480941466,0.06237540365036405,0.361758696344054,0.03299571605884759,0.23438201444091722,0.028881377904266942,0.7471611898563613,384
dinov2_vits14_reg,layer_06,Skewness,0.5670262625868724,0.07630064611204797,0.1751646486721552,0.0062019835206319485,0.12062483840977341,0.005415737848106228,0.635354771862547,384
dinov2_vits14_reg,layer_06,sigma_local,0.6093156537743855,0.17046468112424087,3.3875931516984146,0.5549301139575595,2.076949373503424,0.4125771932104145,0.7362361909536638,384
dinov2_vits14_reg,layer_09,D50,0.4790325074463574,0.145123561686577,1.4557865460171664,0.22134745751723775,0.9710672435123368,0.2872233113442788,0.5534151656937651,384
dinov2_vits14_reg,layer_09,D90,0.21002566967944025,0.10396853156194648,1.3186485191432247,0.08817386584637799,0.8487823141127265,0.09251945850823369,0.2713246937663837,384
dinov2_vits14_reg,layer_09,Span,0.5537664026807729,0.11500962990128584,0.43835024397623157,0.06157848437840671,0.29735362297347057,0.057940921557762745,0.6244665502582576,384
dinov2_vits14_reg,layer_09,Skewness,0.4407423146491697,0.1294301298012967,0.19910374035875936,0.020842524170911102,0.13464678169148692,0.025023191169738578,0.5241007868989465,384
dinov2_vits14_reg,layer_09,sigma_local,0.4759349805496841,0.22366284458123128,3.956292388523592,0.620191926714331,2.3448755521847695,0.3305398016857485,0.6411799634577402,384
dinov2_vits14_reg,layer_12,D50,0.4661906791586283,0.18167114168323562,1.4705883440116252,0.2669916568754525,0.9437033605387682,0.29793255075836805,0.5398550933406758,384
dinov2_vits14_reg,layer_12,D90,0.17981259993708032,0.13869273862013776,1.3403452075542313,0.10809159653601534,0.8514251450921598,0.06879003614079007,0.24552180756227715,384
dinov2_vits14_reg,layer_12,Span,0.5077382177164769,0.1725669847814873,0.45378700768659763,0.08880177868078083,0.30273844427429353,0.06287839932262827,0.5905098339345796,384
dinov2_vits14_reg,layer_12,Skewness,0.4308790957345872,0.17981973444596175,0.19986107356309074,0.028683289072132988,0.1337606306803452,0.019828909900418627,0.5158041226670541,384
dinov2_vits14_reg,layer_12,sigma_local,0.2670681929084586,0.23799128807604641,4.72295395504708,0.6213846713429204,3.2174852533202967,0.8791347799480291,0.4923307188668381,384
dinov2_vitb14,layer_03,D50,0.7336849027110361,0.06339685044081578,1.0384528381383191,0.11068917483420262,0.5973933305858968,0.09853799895025209,0.7754589946473521,768
dinov2_vitb14,layer_03,D90,0.29581537303141947,0.09024507347097366,1.2472265122276993,0.10999436382876121,0.815161294297307,0.08994661716602732,0.34596859080746534,768
dinov2_vitb14,layer_03,Span,0.7518047048830327,0.044226311632470566,0.32682515369393567,0.02668113257057011,0.20829613991575488,0.0264377417370465,0.7940526361569753,768
dinov2_vitb14,layer_03,Skewness,0.6517654889505611,0.05397707753709779,0.15746508230921719,0.005088232937064025,0.1025165379501074,0.005402360442113853,0.7053670317751071,768
dinov2_vitb14,layer_03,sigma_local,0.6537248345526321,0.2185714889048236,3.0529605431406197,0.36832551181801876,1.9457498805527553,0.27330595827999044,0.7884393651435221,768
dinov2_vitb14,layer_06,D50,0.6211621665228735,0.12965219099602845,1.232330889078431,0.19716750013226542,0.8042969106923314,0.08381467722983232,0.6792637540685059,768
