,D50,D90,Span,Skewness,sigma_local
D50,1.0,0.5433952871278946,-0.8446266350139313,-0.9022745970748443,-0.023163383976061942
D90,0.5433952871278946,1.0000000000000002,-0.2807406328122575,-0.6726676052585119,0.029415715366821915
Span,-0.8446266350139313,-0.2807406328122575,0.9999999999999999,0.8062173528562108,0.07283199380856757
Skewness,-0.9022745970748443,-0.6726676052585119,0.8062173528562108,1.0,-0.01613078030802568
sigma_local,-0.023163383976061942,0.029415715366821915,0.07283199380856757,-0.01613078030802568,1.0
