metric,cos_moyen_entre_folds,cos_min,cos_max
D50,0.7995300724724613,0.7050538847011433,0.8824452937149785
D90,0.8285175488548052,0.7698141644983125,0.8916260370468768
Span,0.8364934327809875,0.8121309865535958,0.8663729896234655
Skewness,0.8373437837382853,0.767734216301242,0.8839170746937832
sigma_local,0.8309193539525348,0.7837862584017214,0.9263908368267262
