metrique,texture,moyenne,mediane,ecart_type,q25,q75,min,max
D50,Granuleux,8.530884901252302,8.75914861837192,1.9731990584340393,7.082233534439416,9.858193277310924,4.034023668639053,14.864362454057114
D50,Sableux,5.855339869234731,5.5786692289214495,1.424911918036977,4.809139784946237,6.594350803265736,3.5272169881860327,11.009911361804996
D10,Granuleux,1.2201868237394822,1.0793964070367377,0.25943751019231936,1.0,1.4212291879334016,1.0,2.0998590667084245
D10,Sableux,1.0042926236745369,1.0,0.025672704486371878,1.0,1.0,1.0,1.2469217970049915
D90,Granuleux,20.803063370660094,20.980913978494623,1.291606532784896,20.03003233629748,21.665790297339598,15.740712110564536,23.58806140501056
D90,Sableux,19.57574040992593,19.64080922079481,1.615956529408763,18.59491562568487,20.862693543675142,14.799490968801312,22.943121740694117
Span,Granuleux,2.419061573343019,2.241219520225254,0.5696943202683915,2.0090142862003435,2.7453620209266654,1.4068965616162483,4.350953766728473
Span,Sableux,3.3028959765562678,3.338208913301472,0.5943303895503215,2.900577007395826,3.716689773517274,1.786642849150122,4.7789357892713
Skewness,Granuleux,0.42006953165869615,0.3941934548355251,0.24017668394183272,0.2580328456006979,0.5692328080321648,-0.2380796260932743,1.1208132307188208
Skewness,Sableux,0.7614602871227639,0.7640839743938921,0.23399049923203336,0.5968852884996801,0.907746344223102,0.1500697398004605,1.3370418694829131
sigma_local,Granuleux,18.399654826224886,17.201236449686007,6.611159410236521,13.528361073771736,21.78806536503704,5.832650133269882,43.00644159925561
sigma_local,Sableux,10.763394777956432,10.207952759259545,3.3590050399646785,8.431172865810991,12.697626984968045,4.636411320441847,23.45360148024957
