,meilleur_bloc_Ridge,R2_Ridge_best,R2_Ridge_std_best,MAE_Ridge_best,R2_SVR_meme_bloc,R2_Ridge_pooled_best
D50,block_6,0.7443576534552105,0.10237211314702055,0.8220050789174526,0.6918218560434644,0.7646252780357798
D10,stage_1_fpn,-0.4895237768736681,2.207188407084471,0.10110180642595752,-0.38405414473720756,0.6376457743099424
D90,block_4,0.355060141279423,0.1087119939453216,0.9746924273868329,0.28846976207283187,0.3643027516743431
Span,block_6,0.744422324221553,0.11305539268936991,0.26792726376707926,0.691968825675483,0.7736038464946896
Skewness,block_6,0.6785905603364839,0.11230004510457746,0.12398956031637076,0.599771739322018,0.6977487272177769
sigma_local,block_9,0.7425120667151675,0.08444258907490926,2.3392439701165686,0.6915350222172714,0.7758615104745272
