,block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,stage_1_fpn,stage_2_fpn,stage_3_fpn,stage_4_fpn
D50,0.5198160213126238,0.6707500810933607,0.7285157695291669,0.7385918562718279,0.7329573986923077,0.7184583807225446,0.7443576534552105,0.738988775665221,0.7162164017862084,0.6847600664350211,0.6136994445599957,0.6437935376523004,0.6484891381262725,0.6254881088392075,0.5559038918816022,0.46975973488921924,0.49439676437094493,0.7070233834707053,0.5842078307464152,0.19328743833297254
D10,-0.6136059191626912,-0.822486161784675,-0.8797783506994392,-1.398197338029798,-0.6532878220042551,-0.8060527117371065,-1.3312170254256963,-2.0852322666755603,-1.3725579203030323,-1.6898608961024326,-2.0755645639096443,-2.467253047669631,-2.717441974841558,-3.762967221346641,-5.438312674955686,-4.940984497445302,-0.4895237768736681,-0.6802591680429009,-3.214633329830236,-6.305780218823826
D90,0.11678138549726994,0.22662286857171354,0.288527258249646,0.31021854585470454,0.355060141279423,0.3452664588511295,0.35336773426966456,0.3250784770617222,0.30745513999147783,0.3012420366097321,0.28132218953990445,0.2808824092041515,0.285421526865928,0.3014541972067958,0.212618531602974,0.18543119368718491,0.12037179428786726,0.252754776403295,0.29790976197304186,0.06862259658102358
Span,0.5142188117217826,0.6417835529337985,0.7185197128632657,0.723476341289923,0.7279198290708914,0.7312862687190484,0.744422324221553,0.7318409250048911,0.7250935905801066,0.6944538845054788,0.6350579210998901,0.6548777483914435,0.6591750041408538,0.6282043865417397,0.551236476640155,0.4505099245925184,0.4917793676332053,0.6937531643252793,0.560128208204713,0.16484805143431774
Skewness,0.3868159325744866,0.5562072234728139,0.6361428473823794,0.6552603931811513,0.6750963489882793,0.6639655851782785,0.6785905603364839,0.6618342262015918,0.6351927038971288,0.6143906857955888,0.5498057261499777,0.5703955983925441,0.5925963198671913,0.5904904680069799,0.5136891511561289,0.43944612235090225,0.37735922195191324,0.615304684856375,0.5489652611408771,0.2027745093330319
sigma_local,0.36246732582245594,0.4843945525480626,0.5866811190979968,0.4869227307934921,0.6725530001295045,0.6923212032012408,0.7236496676573247,0.685290356232671,0.7364786454159771,0.7425120667151675,0.6584363009206264,0.6638381425215726,0.6649486825201391,0.6062880739440619,0.5051268362919176,0.4585241732491399,0.4358687026632042,0.5366875874273828,0.49074972221935154,0.1880251292729765
