,block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,stage_1_fpn,stage_2_fpn,stage_3_fpn,stage_4_fpn
D50,1.1620103976314198,0.9584944278562396,0.8393265951663509,0.8331767998004194,0.8526841500057575,0.8793589776608675,0.8220050789174526,0.8364130880874073,0.8696768936690678,0.9061538203735395,0.9706741632355935,0.9360982532325703,0.9578571978223328,0.9954331668578418,1.1007790587259274,1.1946953048543327,1.1947742905917929,0.8855522602922244,1.0473546403242893,1.5071486838026913
D10,0.10558124872680275,0.10535281821925058,0.10023279920230463,0.11580338645015682,0.10477567890938569,0.10807170317471748,0.10996609303190477,0.1179551543780527,0.10802557346911863,0.1057838255672388,0.11016533843372985,0.11321390399380456,0.11585363537765705,0.1240356539943281,0.14959590325979938,0.15567318161022076,0.10110180642595752,0.09521493202356979,0.12268970087029404,0.1818792391497775
D90,1.151492320158996,1.081367830397264,1.0263421367030918,1.0102392816334569,0.9746924273868329,0.9798405573813277,0.9717648706560901,0.9891138829117374,1.0020896113834248,1.0109815531631319,1.020195117255314,1.0215714125668516,1.0189689862147944,1.0079701543418904,1.0801483889614718,1.0902115833108303,1.148954039369751,1.0633153181298463,1.0101924278523389,1.1735421498125487
Span,0.388150945007219,0.3305619143454202,0.287308327850585,0.2828834356734706,0.27370987248220785,0.2758137085245667,0.26792726376707926,0.2749930303679429,0.28200848537478784,0.2922441904580171,0.31542067800097173,0.3066765018063181,0.3139497410507143,0.33403777574280824,0.37046503642240725,0.4049911794148273,0.39921215831746404,0.3012489500980157,0.3665185750219523,0.5051879042920133
Skewness,0.17692543265700808,0.15321036155730544,0.13602812177766438,0.13162743456358372,0.1254945162285171,0.12914921287630804,0.12398956031637076,0.12871437809419684,0.13316264442739373,0.136145833964116,0.14221675442209714,0.13984654985343825,0.14041899530852175,0.14385960632879785,0.15722757737742044,0.1664294816121988,0.178651584952594,0.1401751702631186,0.1487103846182342,0.19907589583893825
sigma_local,3.4872573564701725,3.104527381885498,2.8524335145267656,3.1651161726129375,2.4840316852986892,2.4108832768117088,2.2861481462792432,2.442233684903302,2.328725300486017,2.3392439701165686,2.5547796929209907,2.5583061065086072,2.6137720130753572,2.8003402721958404,3.2012110321461185,3.396173267586667,3.368983179937724,2.9001026981189164,3.0287881953759688,4.297189907675586
