metrique,coef_SVM_standardise,abs
sigma_local,1.1201558786298564,1.1201558786298564
D50,0.9126308128135943,0.9126308128135943
D10,0.7286971100072499,0.7286971100072499
Span,0.18687706944376403,0.18687706944376403
D90,-0.02332239119527002,0.02332239119527002
Skewness,0.011052026016365513,0.011052026016365513
