,block_0,block_1,block_2,block_3,block_4,block_5,block_6,block_7,block_8,block_9,block_10,block_11,block_12,block_13,block_14,block_15,stage_1_fpn,stage_2_fpn,stage_3_fpn,stage_4_fpn
D50,0.40445515492800055,0.6338201358168514,0.6958976696453616,0.7031474605936483,0.6932960829600932,0.6788784021133142,0.6918218560434644,0.6788691303524494,0.6827000867656808,0.6607902088533386,0.5977055368149384,0.6121948792902039,0.579924484589174,0.5707108490093487,0.4366105782105441,0.36388121555385944,0.5023180937964841,0.6666532440500268,0.5056029598113593,0.22093669235604185
D10,0.12647615104085974,0.06301230576085781,0.16702100174623113,-0.4024720424292065,-0.47970074270584095,-0.5777491273535434,-0.9619991900804393,-0.8796117347184094,-1.0082546159480335,-1.1846509736178692,-1.4986220748484063,-1.7893057780406365,-2.2489395822616216,-2.739503162273226,-4.438771276988343,-4.566130933382437,-0.38405414473720756,0.36975811488630544,-2.7156042469214903,-3.547947317356435
D90,0.10081712752938812,0.1566095355511716,0.23213513712835696,0.28402453625975566,0.28846976207283187,0.2798910803514112,0.2909609721241486,0.2838877798828337,0.2750012219902582,0.2752441509626265,0.2636052517985437,0.24831266909407773,0.24954989026724092,0.2670123963109162,0.10589021983332869,0.07563798033993856,0.11354196419719305,0.20106743188341572,0.2420856173197367,0.006361260015112169
Span,0.5497578767567213,0.6605208023985532,0.7224981480706034,0.7012240941299884,0.666565810084054,0.680666492055625,0.691968825675483,0.6826872218186469,0.6702892971377764,0.6658957557567867,0.6114684925890624,0.6235067574739681,0.6068081539272606,0.5853667811942153,0.4347164879337706,0.3402645246838945,0.5248933815530125,0.6986330266862266,0.5095918925270253,0.16888266371546817
Skewness,0.3387566359959525,0.5336599646802435,0.61223127802288,0.6251830165774912,0.6194319230257117,0.5872649460572099,0.599771739322018,0.5982932150293763,0.5892597753608311,0.5831534643522632,0.5383986561046685,0.541977411019227,0.5265705254332208,0.5316890948177653,0.3913413289114903,0.34387784017264594,0.382927580083093,0.5726189812108544,0.4916975302072613,0.19683970865268072
sigma_local,0.5223442331874669,0.44509169939939286,0.546891512303719,0.45397516757871037,0.5902862756313036,0.6392469824150353,0.664569312907295,0.641426351526752,0.7018421906277703,0.6915350222172714,0.64486779733658,0.6143252825540345,0.6026654826231516,0.5411498823539439,0.3898017620462247,0.32584991367444055,0.5675596166085733,0.44534524497796896,0.5162908513073108,0.21815335771746547
