block,n_p_min,n_p_median,n_p_max,SS_total,SS_inter,SS_intra,erreur_identite,eta2,un_moins_eta2
block_4,60,66.0,77,640407.4504740033,268222.76157849334,372184.68889551,0.0,0.41883141955947867,0.5811685804405213
block_6,60,66.0,77,941431.4411670578,346632.6380924059,594798.803074652,1.2365777977695224e-16,0.3681974309915741,0.6318025690084259
block_9,60,66.0,77,939935.9148995295,307704.84241491323,632231.0724846163,0.0,0.3273678955525431,0.6726321044474569
