block,texture,n_patchs,eta2,SS_inter,SS_intra
block_4,Granuleux,409,0.3989644761378284,154736.2277661258,233108.3975600393
block_4,Sableux,269,0.4240856214776233,102411.50011765928,139076.29133547063
block_6,Granuleux,409,0.34473754888114566,195115.13501734688,370866.5390143852
block_6,Sableux,269,0.3758376528542955,134840.20128358068,223932.26406026672
block_9,Granuleux,409,0.3040301678362508,170319.37883906355,389886.1430379521
block_9,Sableux,269,0.33266607988543156,120808.99116486151,242344.9294466643
