patch_idx,max_abs_diff
640,1.8230022408305402e-08
317,2.2018676493207323e-08
23,4.1619298118966697e-08
643,2.161725490279487e-08
557,3.875558979293814e-08
97,1.571422328372485e-08
508,2.1485852846891973e-08
343,1.4845603857338574e-08
