,D50,D90,Span,Skewness,sigma_local
D50,1.0,0.6527855796893047,-0.9726219563504893,-0.9775917913728119,0.6105421167596085
D90,0.6527855796893047,1.0,-0.47531125672426167,-0.6635734679722246,0.4139609367971722
Span,-0.9726219563504893,-0.47531125672426167,1.0,0.9392820512188673,-0.5915666700594113
Skewness,-0.9775917913728119,-0.6635734679722246,0.9392820512188673,1.0,-0.5865062377826783
sigma_local,0.6105421167596085,0.4139609367971722,-0.5915666700594113,-0.5865062377826783,1.0
