,D50,D90,Span,Skewness,sigma_local
D50,1.0,0.6566417393225231,-0.9460225409196071,-0.9660179954586775,0.5587189011970799
D90,0.6566417393225231,1.0,-0.48613234014158596,-0.7143993614221493,0.38507985367067865
Span,-0.9460225409196071,-0.48613234014158596,0.9999999999999997,0.9161503288013173,-0.5281307945639121
Skewness,-0.9660179954586775,-0.7143993614221493,0.9161503288013173,1.0,-0.5288781032352395
sigma_local,0.5587189011970799,0.38507985367067865,-0.5281307945639121,-0.5288781032352395,1.0
