,D50,D90,Span,Skewness,sigma_local
D50,1.0,0.5086522362904333,-0.8054781510978514,-0.8923821771612286,-0.20436901487307663
D90,0.5086522362904333,1.0,-0.4043573723654747,-0.6888058258178014,-0.06385413730508901
Span,-0.8054781510978514,-0.4043573723654747,1.0,0.8492369969111684,0.17509378389406505
Skewness,-0.8923821771612286,-0.6888058258178014,0.8492369969111684,0.9999999999999999,0.18315248435569337
sigma_local,-0.20436901487307663,-0.06385413730508901,0.17509378389406505,0.18315248435569337,0.9999999999999998
