,D50,D90,Span,Skewness,sigma_local
D50,0.9999999999999999,0.5879109632340738,-0.8659993429411185,-0.9382814262656316,0.01473907114095294
D90,0.5879109632340738,1.0,-0.41982151421938363,-0.6464173901615735,0.12552101311888061
Span,-0.8659993429411185,-0.41982151421938363,1.0000000000000002,0.8336387109341254,0.010644009563420834
Skewness,-0.9382814262656316,-0.6464173901615735,0.8336387109341254,0.9999999999999998,-0.018867304344978325
sigma_local,0.01473907114095294,0.12552101311888061,0.010644009563420834,-0.018867304344978325,1.0
