,D50,D90,Span,Skewness,sigma_local
D50,1.0,0.6326988972449339,-0.8548538807277715,-0.9400705381886945,-0.11697907195421212
D90,0.6326988972449339,1.0,-0.3949077872721233,-0.7207156438124754,-0.033098901637092816
Span,-0.8548538807277715,-0.3949077872721233,1.0,0.8298841907200645,0.09402525477474148
Skewness,-0.9400705381886945,-0.7207156438124754,0.8298841907200645,1.0,0.10023878976722793
sigma_local,-0.11697907195421212,-0.033098901637092816,0.09402525477474148,0.10023878976722793,0.9999999999999998
