level,D50,D90,Span,Skewness,sigma_local
50%,0.9560974020023838,0.993332460035455,0.3102783639802951,0.1470767168890919,3.19052764280967
75%,0.8342235658976775,0.896642403325868,0.275458365150777,0.12777266562675477,2.916506985967912
95%,0.7059263286062654,0.8273306601857694,0.22877532639744186,0.1067301188251385,2.0750160825032804
brut (100%),0.6263388613812151,0.8000811516129449,0.2133306227275445,0.09988879555635503,1.5724503442687574
