level,D50,D90,Span,Skewness,sigma_local
50%,0.10110523939162863,0.09965008240950246,0.05604952403732478,0.01535343714237656,0.5906700715193111
75%,0.05141246251373657,0.07133421491969814,0.055284091580715254,0.006472476205146107,0.5015222085636046
95%,0.11258792388074934,0.12281377602485695,0.022384006697706488,0.006719755991235799,0.187213485448566
brut (100%),0.06747848729973246,0.10239954841978267,0.04646309377377329,0.008368715782216598,0.13717412134487061
