level,D50,D90,Span,Skewness,sigma_local
50%,1.5188817971975879,1.4400800538471508,0.47421717019198245,0.221146251418533,4.83375204737881
75%,1.3022483876483872,1.3460920728374053,0.4101493195145488,0.19144004578238244,4.744763555516139
95%,1.0988993038572434,1.228197345458008,0.3514965187376894,0.16130174627231575,3.4487320573019575
brut (100%),1.0065094690121317,1.2167894756594755,0.31913807933708227,0.1516676939877349,2.621596447778813
