level,D50,D90,Span,Skewness,sigma_local
50%,0.43415099260134965,0.06530351189941316,0.4862148404771086,0.3168266667329364,0.255428189080947
75%,0.5831631250177401,0.17757641516670256,0.6125663639370267,0.48557893566499155,0.27108749050539477
95%,0.7032892734772106,0.3158498111682547,0.7100334034159121,0.6356021530497681,0.5860816516827148
brut (100%),0.7481240630774781,0.32641970526195524,0.7583376418392631,0.675639759178711,0.7585970056430531
