level,D50,D90,Span,Skewness,sigma_local
50%,0.09395931251090442,0.15579427811319474,0.05634156519102927,0.014076300524452379,1.153598455305837
75%,0.11254489805925515,0.10545110944183174,0.03912612306579042,0.005394345815097821,1.036721893226767
95%,0.11728938624248857,0.11868737195570106,0.032021964110705355,0.007532586253986834,0.4687560496144623
brut (100%),0.13188716091523991,0.10873903524902724,0.02917587474415593,0.002423225960672165,0.3388234126326711
