level,D50,D90,Span,Skewness,sigma_local
50%,0.10313214373797672,0.11754798633547178,0.067501702967492,0.09724392562918581,0.2480752440830574
75%,0.08992113428661647,0.11863970254659668,0.0604954934548621,0.0844539543587431,0.25460689418609156
95%,0.06627097399409561,0.10570600313753126,0.06931579091264077,0.0551656701219604,0.22789402459480537
brut (100%),0.07574721661708451,0.11349950437305537,0.06954138607608115,0.06250967455059603,0.12996814813541804
