block,fold,metric,model,dropout,seed,r2,rmse,medae
block_4,0,D50,Ridge,,,0.6345617430430822,1.2125687673015477,0.6708869348001008
block_4,0,D90,Ridge,,,0.2162007711124294,1.1030923434498665,0.7930967005113541
block_4,0,Span,Ridge,,,0.704381149712259,0.29151339141900895,0.18306083426090436
block_4,0,Skewness,Ridge,,,0.5787692670154208,0.1501083878796859,0.09386868252268438
block_4,0,sigma_local,Ridge,,,0.8114495008597046,3.1624461471076537,1.473196704445071
block_4,0,D50,MLP_p0.3,0.3,0.0,0.5744576705080523,1.3084910476622584,0.8129758397106723
block_4,0,D50,MLP_p0.3,0.3,1.0,0.5358461272501862,1.3665652140263254,0.7919765222565589
block_4,0,D50,MLP_p0.3,0.3,2.0,0.5587683346152292,1.3323941234034662,0.8127570279837268
block_4,0,D50,MLP_p0.5,0.5,0.0,0.578823765149285,1.3017611350882974,0.7799909818665443
block_4,0,D50,MLP_p0.5,0.5,1.0,0.6111320349304555,1.2508362419055015,0.7681827861404065
block_4,0,D50,MLP_p0.5,0.5,2.0,0.5557865011651467,1.3368886870761445,0.7343046207427797
block_4,0,D90,MLP_p0.3,0.3,0.0,0.1991036349750821,1.1150584046662886,0.8271882869910794
block_4,0,D90,MLP_p0.3,0.3,1.0,0.18287850472664435,1.1262965967731946,0.8180411562463146
block_4,0,D90,MLP_p0.3,0.3,2.0,0.18797174486612545,1.1227809224513223,0.7456358549074231
block_4,0,D90,MLP_p0.5,0.5,0.0,0.17545504250345567,1.1314011719887165,0.7787261022264627
block_4,0,D90,MLP_p0.5,0.5,1.0,0.19761475534848238,1.116094379450832,0.78260637246823
block_4,0,D90,MLP_p0.5,0.5,2.0,0.1946996368809094,1.118119963561861,0.7297537278838497
block_4,0,Span,MLP_p0.3,0.3,0.0,0.6265540032762129,0.3276471180506445,0.21442356047129874
block_4,0,Span,MLP_p0.3,0.3,1.0,0.5675493677260206,0.3525824704197207,0.22191986665033192
block_4,0,Span,MLP_p0.3,0.3,2.0,0.6271321399249159,0.3273934024157067,0.21016987381293184
block_4,0,Span,MLP_p0.5,0.5,0.0,0.5962566795016271,0.3406788114415892,0.21960066590298377
block_4,0,Span,MLP_p0.5,0.5,1.0,0.5986945904616146,0.33964869883206966,0.2334768254386811
block_4,0,Span,MLP_p0.5,0.5,2.0,0.6151708423562422,0.3326032076317583,0.21860813614525776
block_4,0,Skewness,MLP_p0.3,0.3,0.0,0.41557423223885637,0.17681113577335147,0.10748514068068876
block_4,0,Skewness,MLP_p0.3,0.3,1.0,0.36684553880052206,0.18403472286487524,0.1254882574983287
block_4,0,Skewness,MLP_p0.3,0.3,2.0,0.40825038121573776,0.1779155589227935,0.10525046719693598
block_4,0,Skewness,MLP_p0.5,0.5,0.0,0.491028093798034,0.16500300040939742,0.10654087382496433
block_4,0,Skewness,MLP_p0.5,0.5,1.0,0.39725932348554127,0.1795602438437187,0.1011453089791432
block_4,0,Skewness,MLP_p0.5,0.5,2.0,0.39723229522027836,0.17956426974381506,0.09868332163835028
block_4,0,sigma_local,MLP_p0.3,0.3,0.0,0.7170249978761243,3.8742115489332454,2.6208449157216
block_4,0,sigma_local,MLP_p0.3,0.3,1.0,0.7002951098137911,3.9870915705265526,2.469857433897187
block_4,0,sigma_local,MLP_p0.3,0.3,2.0,0.6657831659883419,4.210400959008019,2.5439312039602555
block_4,0,sigma_local,MLP_p0.5,0.5,0.0,0.7058610179102743,3.9498953376492207,2.5178361491275023
block_4,0,sigma_local,MLP_p0.5,0.5,1.0,0.7080634619495689,3.9350796042013596,2.609954082236884
block_4,0,sigma_local,MLP_p0.5,0.5,2.0,0.7326219395084347,3.765929450300365,2.480074906326026
block_4,1,D50,Ridge,,,0.8478953353982106,0.8580988406667164,0.5709123732325461
block_4,1,D90,Ridge,,,0.2528519105452557,1.384940045231269,0.9364628587898025
block_4,1,Span,Ridge,,,0.8633459716430816,0.29369009083787817,0.19114483377773972
block_4,1,Skewness,Ridge,,,0.7353325941934494,0.1543145568851363,0.1030148392119915
block_4,1,sigma_local,Ridge,,,0.6895203852378246,2.6503434942014845,1.745251846421211
block_4,1,D50,MLP_p0.3,0.3,0.0,0.8051651408677631,0.9711792163716423,0.5561589131847469
block_4,1,D50,MLP_p0.3,0.3,1.0,0.8323472659620851,0.9008891758492834,0.5940636280517493
block_4,1,D50,MLP_p0.3,0.3,2.0,0.7893708586630851,1.0097765420831446,0.5658447252306193
