block,metric,RMSE_Ridge,RMSE_MLP_best,gagnant_RMSE,MedAE_Ridge,MedAE_MLP_best,gagnant_MedAE
block_4,D50,1.0065094690121228,1.0776749123263525,Ridge,0.6263388613812316,0.6613633844439727,Ridge
block_4,D90,1.2167894756594757,1.2785365406457625,Ridge,0.8000811516129438,0.8294525978995576,Ridge
block_4,Span,0.319138079337078,0.3614073651161506,Ridge,0.2133306227275417,0.2370654351928752,Ridge
block_4,Skewness,0.1516676939877349,0.1675425205456518,Ridge,0.099888795556357,0.1057272985643886,Ridge
block_4,sigma_local,2.621596447778836,2.9412321300338387,Ridge,1.5724503442686244,1.88565789221562,Ridge
block_6,D50,1.0224036326675117,1.0994519840792278,Ridge,0.6199329759449731,0.6685285207770326,Ridge
block_6,D90,1.2274117016820552,1.292874436623355,Ridge,0.7781842732578266,0.8442926213970141,Ridge
block_6,Span,0.3342104390041849,0.3564381872103633,Ridge,0.2184566297760597,0.2373310097355331,Ridge
block_6,Skewness,0.1560559409195823,0.1644662647050437,Ridge,0.1010890915670182,0.1085622835283209,Ridge
block_6,sigma_local,2.5371097237888103,2.8173532507135413,Ridge,1.55566447288369,1.6348174872320953,Ridge
block_9,D50,1.1644855189110894,1.247737256944611,Ridge,0.7296967598629961,0.8210092390519217,Ridge
block_9,D90,1.2821410990332307,1.3253684217283963,Ridge,0.8330521362399519,0.8687827264150133,Ridge
block_9,Span,0.3767272861870409,0.4097556624093713,Ridge,0.2465279870980008,0.2649015775729845,Ridge
block_9,Skewness,0.1744587487397433,0.1897881483747392,Ridge,0.1139164440451913,0.1221080241638774,Ridge
block_9,sigma_local,2.9249914032886144,3.146743666361614,Ridge,1.796718726545398,1.8788120317071235,Ridge
